id,categories
7935,Economic
7935,Trains
8045,Economic
8045,Negotiation
8045,Renaissance
8051,Ancient
8051,Territory Building
8051,City Building
8098,Card Game
8098,Action / Dexterity
8098,Party Game
8098,Real-time
8125,Negotiation
8125,Farming
8129,Card Game
8147,Card Game
8147,City Building
8147,Bluffing
8172,Card Game
8172,Deduction
8172,Party Game
8172,Bluffing
8190,Novel-based
8190,Mythology
8190,Territory Building
8190,Travel
8190,Abstract Strategy
8195,Dice
8195,Children's Game
8195,Animals
8203,Animals
8203,Abstract Strategy
8217,Card Game
8217,City Building
8217,Economic
8229,Abstract Strategy
8229,American West
8229,Territory Building
8229,Bluffing
8229,Fantasy
8243,Abstract Strategy
8250,World War II
8250,Wargame
8320,Wargame
8320,World War II
8481,Medieval
8481,Wargame
8552,Card Game
8552,Nautical
8552,Pirates
8730,Age of Reason
8730,Wargame
8730,American Revolutionary War
8730,Napoleonic
8730,Nautical
8790,Party Game
8790,Card Game
8790,Action / Dexterity
8829,Word Game
8829,Humor
8829,Party Game
8829,Trivia
8829,Bluffing
8920,Economic
8920,Word Game
8924,Dice
8924,Humor
8924,Children's Game
8924,Party Game
8924,Action / Dexterity
8944,Dice
8946,Deduction
8964,Racing
8964,Children's Game
8989,Economic
8989,Medieval
8989,Nautical
8989,Transportation
9004,Pirates
9004,Children's Game
9004,Action / Dexterity
9004,Movies / TV / Radio theme
9027,Territory Building
9027,Animals
9028,Nautical
9028,Exploration
9028,Transportation
9201,Spies/Secret Agents
9201,Abstract Strategy
9201,Card Game
9209,Trains
9216,Economic
9216,Renaissance
9216,Nautical
9216,Farming
9217,Age of Reason
9217,Card Game
9217,City Building
9217,Economic
9220,Exploration
9220,Party Game
9220,Fantasy
9220,Bluffing
9220,Card Game
9251,Children's Game
9251,Card Game
9388,Humor
9388,Horror
9388,Bluffing
9388,Card Game
9440,City Building
9441,Bluffing
9441,Children's Game
9441,Animals
9441,Card Game
9446,Fantasy
9446,Fighting
9446,Card Game
9539,Children's Game
